ID,city,city_ascii,lat,lng,fed,province / region,Timezone
276,Tai’an,Tai'an,36.2,117.1201,CN,Shandong,Shanghai: UTC+8
277,Eşfahān,Esfahan,32.7,51.7,IR,Eşfahān,Tehran: UTC+3.5
278,Kansas City,Kansas City,39.1239,-94.5541,US,Missouri,Chicago: UTC-6(-5)
279,Yaoundé,Yaounde,3.8667,11.5167,CM,Centre,Lagos: UTC+1
280,Shantou,Shantou,23.37,116.67,CN,Guangdong,Shanghai: UTC+8
281,Āgra,Agra,27.1704,78.015,IN,Uttar Pradesh,Mumbai: UTC+5.5
282,Zhanjiang,Zhanjiang,21.2,110.38,CN,Guangdong,Shanghai: UTC+8
283,La Paz,La Paz,-16.498,-68.15,BO,La Paz,Caracas: UTC-4
284,Kalyān,Kalyan,19.2502,73.1602,IN,Mahārāshtra,Mumbai: UTC+5.5
285,Abuja,Abuja,9.0833,7.5333,NG,Federal Capital Territory,Lagos: UTC+1
286,Harare,Harare,-17.8178,31.0447,ZW,Harare,Johannesburg: UTC+2
287,Indianapolis,Indianapolis,39.7771,-86.1458,US,Indiana,New_York: UTC-5(-4)
288,Xiantao,Xiantao,30.3704,113.44,CN,Hubei,Shanghai: UTC+8
289,Khulna,Khulna,22.84,89.56,BD,Khulna,Dhaka: UTC+6
290,Weifang,Weifang,36.7204,119.1001,CN,Shandong,Shanghai: UTC+8
291,Tijuana,Tijuana,32.5,-117.08,MX,Baja California,Los_Angeles: UTC-8(-7)
292,Santiago,Santiago,19.5,-70.67,DO,Cibao Norte,Caracas: UTC-4
293,Xinyang,Xinyang,32.1304,114.07,CN,Henan,Shanghai: UTC+8
294,Luzhou,Luzhou,28.88,105.38,CN,Sichuan,Shanghai: UTC+8
295,Perth,Perth,-31.955,115.84,AU,Western Australia,Shanghai: UTC+8
296,Toluca,Toluca,19.3304,-99.67,MX,México,Mexico_City: UTC-6
297,Vishākhapatnam,Vishakhapatnam,17.73,83.305,IN,Andhra Pradesh,Mumbai: UTC+5.5
298,Leeds,Leeds,53.83,-1.58,UK,Leeds,London: UTC±0(+1)
299,Kōbe,Kobe,34.68,135.17,JP,Hyōgo,Tokyo: UTC+9
300,Columbus,Columbus,39.986,-82.9851,US,Ohio,New_York: UTC-5(-4)
301,Multan,Multan,30.2,71.455,PK,Punjab,Karachi: UTC+5
302,Kochi,Kochi,10.015,76.2239,IN,Kerala,Mumbai: UTC+5.5
303,Montevideo,Montevideo,-34.858,-56.1711,UY,Montevideo,São_Paulo: UTC-3
304,Gujranwala,Gujranwala,32.1604,74.185,PK,Punjab,Karachi: UTC+5
305,Niterói,Niteroi,-22.9,-43.1,BR,Rio de Janeiro,São_Paulo: UTC-3
306,Ganzhou,Ganzhou,25.92,114.95,CN,Jiangxi,Shanghai: UTC+8
307,Florence,Florence,43.78,11.25,IT,Tuscany,Paris: UTC+1(+2)
